,Address,Case,DateTime,File,Incident,NumInc,Shift
6459,8000 Block of Madison Blvd,B09-001996,2009-08-24 21:30:00,384,DUTY TO STOP AND REMAIN AT SCENE,1,II
6460,7000 Block of Highway 72 W,B09-001998,2009-08-25 09:05:00,384,UNAUTHORIZED USE OF AUTO,1,I
6461,300 Block of Nale Dr,B09-001999,2009-08-25 10:15:00,384,THEFT 2ND DEGREE,1,I
6462,"D. L. Construction Co., 8566 Madison Blvd",B09-002003,2009-08-26 08:40:00,384,BURGLARY-3RD,2,I
6463,"D. L. Construction Co., 8566 Madison Blvd",B09-002003,2009-08-26 08:40:00,384,THEFT 2ND DEGREE,2,I
6464,100 Block of Royal Dr,B09-002004,2009-08-26 14:33:00,384,HARASSING COMMUNICATIONS,1,II
6465,4000 Block of Sullivan St,B09-002005,2009-08-26 15:04:00,384,CRIMINAL MISCHIEF-3RD,1,II
6466,200 Block of Patricia Rd,B09-002007,2009-08-26 15:50:00,384,VIOLATION OF PROTECTION OR RESTRAINING ORDER,1,II
6467,"Faith Lutheran Church, 660 Gillespie Rd",B09-002010,2009-08-27 08:30:00,384,BURGLARY-3RD,2,I
6468,"Faith Lutheran Church, 660 Gillespie Rd",B09-002010,2009-08-27 08:30:00,384,THEFT 2ND DEGREE,2,I
6469,100 Block of Plaza Blvd,B09-002011,2009-08-27 12:01:00,384,THEFT 2ND DEGREE,1,I
6470,100 Block of Tom Thrasher Lane,B09-002012,2009-08-27 14:25:00,384,DUTY UPON STRIKING UNATTENDED VEHICLE,1,II
6471,area of Michael Av / Wall Triana Hwy,B09-002013,2009-08-27 19:28:00,384,THEFT 2ND DEGREE,1,II
6472,100 Block of Metaire Ln,B09-002014,2009-08-27 22:50:00,384,DOMESTIC   VIOLENCE 3RD,1,III
6473,9000 Block of Madison Blvd,B09-002016,2009-08-28 20:45:00,384,CRIMINAL MISCHIEF-2ND,1,II
6474,"City Of Madison, Cain St / Martin St",B09-002017,2009-08-28 22:58:00,384,DUTY TO GIVE INFORMATION TO RENDER AID,1,III
6475,7000 Block of Old Madison Pike,B09-002022,2009-08-29 15:20:00,384,HARASSING COMMUNICATIONS,1,II
6476,7000 Block of Highway 72 W,B09-002025,2009-08-29 17:10:00,384,VIOLATION OF PROTECTION OR RESTRAINING ORDER,1,II
6477,7000 Block of Highway 72 W,B09-002026,2009-08-29 16:25:00,384,HARASSMENT,1,II
6478,"State Of Alabama, 8366 Madison Blvd",B11-000301,2011-02-06 13:20:00,939,UNLAWFUL MANUFACTURE OF A CONTROLLED SUBSTANCE,1,I
6479,"Walmart Pharmacy, 8650 Madison Blvd",B11-000302,2011-02-06 17:00:00,939,THEFT 3RD DEGREE,1,II
6480,100 Block of Stoneway Tr,B11-000303,2011-02-06 18:03:00,939,DOMESTIC VIOLENCE 3RD,1,II
6481,200 Block of Water Hill Rd,B11-000304,2011-02-06 19:13:00,939,AUTO THEFT-1ST DEGREE,1,II
6482,1000 Block of Colonial Lake Dr,B11-000305,2011-02-06 20:00:00,939,CRIMINAL MISCHIEF-2ND,1,II
6483,100 Block of Maximillion Dr,B11-000306,2011-02-07 12:30:00,939,ILLEGAL POSS/USE CREDIT CARD,1,I
6484,"Cvs Pharmacy (Store 4884), 8503 Old Madison Pike",B11-000307,2011-02-07 12:40:00,939,THEFT 3RD DEGREE,1,I
6485,100 Block of Woodel Cir,B11-000308,2011-02-07 12:45:00,939,BURGLARY-3RD,1,I
6486,100 Block of Westover Cir,B11-000310,2011-02-07 14:57:00,939,DOMESTIC VIOLENCE 3RD,1,II
6487,"Decatur Transit, 9091 Madison Blvd",B11-000312,2011-02-07 17:05:00,939,FAILURE TO REDELIVER HIRED VEHICLE - SVCS. OF WRITTEN DEMAN,1,II
6488,100 Block of Park Square Ln,B11-000313,2011-02-07 18:30:00,939,THEFT 3RD DEGREE,1,II
6489,200 Block of Jarrett Ln,B11-000314,2011-02-07 19:20:00,939,IDENTITY THEFT,1,II
6490,200 Block of Kyser Blvd,B11-000315,2011-02-07 20:40:00,939,DOMESTIC VIOLENCE 3RD,1,II
6491,200 Block of Waters Edge Ln,B11-000316,2011-02-07 22:10:00,939,THEFT 2ND DEGREE,1,III
6492,1000 Block of Liberty Dr,B11-000317,2011-02-08 00:10:00,939,BURGLARY-3RD,2,III
6493,1000 Block of Liberty Dr,B11-000317,2011-02-08 00:10:00,939,THEFT 1ST DEGREE,2,III
6494,4000 Block of Wall Triana Hwy,B11-000318,2011-02-08 18:00:00,939,DOMESTIC VIOLENCE 3RD,1,II
6495,1000 Block of Hughes Rd,B11-000319,2011-02-08 16:50:00,939,HARASSMENT,2,II
6496,1000 Block of Hughes Rd,B11-000319,2011-02-08 16:50:00,939,CRIMINAL MISCHIEF-3RD,2,II
6497,7000 Block of Highway 72 W,B11-000320,2011-02-08 19:45:00,939,LEAVING THE SCENE OF AN ACCIDENT,1,II
6498,"City Of Madison, Belltower Ln Sw / Zierdt Rd",B11-000323,2011-02-09 01:00:00,939,ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER,1,III
6499,7000 Block of Highway 72 W,B11-000324,2011-02-09 13:00:00,939,RECEIVING STOLEN PROPERTY-2ND,1,I
6500,8000 Block of Madison Blvd,B11-000325,2011-02-09 14:25:00,939,THEFT 3RD DEGREE,1,II
6501,100 Block of Michael Av,B11-000326,2011-02-09 16:25:00,939,DEATH INVESTIGATION,1,II
6502,"Cvs Pharmacy (Store 4884), 8503 Old Madison Pike",B11-000327,2011-02-09 20:00:00,939,THEFT 3RD DEGREE,1,II
6503,100 Block of Block Of Shelton Rd,B11-000329,2011-02-09 21:06:00,939,DUTY TO GIVE INFORMATION TO RENDER AID,2,II
6504,100 Block of Block Of Shelton Rd,B11-000329,2011-02-09 21:06:00,939,DUTY TO GIVE INFORMATION TO RENDER AID,2,II
6505,area of Village Ln / Wall Triana Hwy,B11-000330,2011-02-09 23:10:00,939,DUTY TO GIVE INFORMATION TO RENDER AID,1,III
6506,100 Block of Block Of Shelton Rd,B11-000331,2011-02-09 21:06:00,939,DUTY TO GIVE INFORMATION TO RENDER AID,1,II
6507,1000 Block of Browns Ferry Rd,B11-000333,2011-02-10 17:30:00,939,BURGLARY-3RD,2,II
6508,1000 Block of Browns Ferry Rd,B11-000333,2011-02-10 17:30:00,939,THEFT 2ND DEGREE,2,II
