id,case_no,time,shift,date,location,type
205,B11-000974,11:50am,I,April19,2011, State Of Alabama, 8005 Hwy 72 Madison, POSS. FORGED INSTRUMENT 1ST
206,B11-000975,8:32pm,II,April19,2011, 7000 Block of Highway 72 W, THEFT OF LOST PROPERTY-3RD
207,B11-000976,9:00pm,II,April19,2011, 100 Block of Freedom Way, HARASSING COMMUNICATIONS
208,B11-000981,3:00pm,II,April19,2011, 100 Block of Royal Dr, HARASSMENT
209,B11-000983,3:15pm,II,April19,2011, 1000 Block of Hughes Rd, HARASSMENT
210,B11-000984,12:20pm,I,April20,2011, 200 Block of Palmer Rd, CRIMINAL MISCHIEF-2ND
211,B11-000985,12:50pm,I,April20,2011, Technology Recycling Center, 9540 Madison Blvd, POSS. FORGED INSTRUMENT 2ND
212,B11-000985,12:50pm,I,I, Technology Recycling Center, 9540 Madison Blvd, THEFT 3RD DEGREE
213,B11-000986,3:00pm,II,April20,2011, Dollar General, 7950 Highway 72 W, THEFT 3RD DEGREE
214,B11-000987,3:11pm,II,April20,2011, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 3RD DEGREE
215,B11-000988,6:20pm,II,April20,2011, Publix Grocery, 8000 Madison Blvd, CIRCULATING EMITTED MONEY
216,B11-000988,6:20pm,II,II, Publix Grocery, 8000 Madison Blvd, CIRCULATING EMITTED MONEY
217,B11-000990,7:02pm,II,April20,2011, 1000 Block of Liberty Dr, DOMESTIC VIOLENCE 3RD
218,B11-000991,7:12pm,II,April20,2011, 1000 Block of Liberty Dr, DOMESTIC VIOLENCE 3RD
219,B11-000993,12:20am,III,April21,2011, 8000 Block of Madison Blvd, DUTY TO GIVE INFORMATION TO RENDER AID
220,B11-000994,11:46pm,III,April20,2011, 100 Block of Royal Dr, HARASSING COMMUNICATIONS
221,B11-000995,8:30am,I,April21,2011, 100 Block of Grand Vista Dr, HARASSING COMMUNICATIONS
222,B11-000996,8:35am,I,April21,2011, Water And Wastewater Board, 500 Lime Quarry Rd, CRIMINAL MISCHIEF-2ND
223,B11-000997,12:15pm,I,April21,2011, The A/C Doctor, 9580 Madison Blvd, THEFT 2ND DEGREE
224,B11-000998,1:33pm,I,April21,2011, 100 Block of Brownstone Dr, BURGLARY-3RD
225,B11-000998,1:33pm,I,I, 100 Block of Brownstone Dr, THEFT 1ST DEGREE
226,B11-000999,5:34pm,II,April21,2011, 800 Block of Crestview Dr, CRIMINAL MISCHIEF-3RD
227,B11-001001,8:33am,I,April22,2011, Pediatric Associates Of Madison, 21 Hughes Rd, THEFT 1ST DEGREE
