id%case_no%time%shift%date%location%latitude%longitude%incident_type
180%B11-000944%6:08pm%II%April16,2011%100 Block of Royal Dr Madison Madison AL%34.684266%-86.752033%BREAKING AND ENTERING A VEHICLE
181%B11-000945%6:59pm%II%April16,2011%100 Block of Marie Cir Madison AL%34.738962%-86.754128%BREAKING AND ENTERING A VEHICLE
182%B11-000950%3:35pm%II%April17,2011%Color Xpress, 132 Jetplex Ln Madison AL%34.671262%-86.775323%THEFT 3RD DEGREE
183%B11-000951%4:40pm%II%April17,2011%100 Block of Mabscott Dr Madison AL%34.7250423%-86.7644412%CRIMINAL MISCHIEF-3RD
184%B11-000952%10:17pm%III%April17,2011%100 Block of Bridgefield Rd Madison AL%34.7142948%-86.7534462%UNLAWFUL BREAKING AND ENTERING A VEHICLE
185%B11-000954%11:00pm%III%April17,2011%100 Block of Tailwind Ct Madison AL%34.73606%-86.773221%UNLAWFUL BREAKING AND ENTERING A VEHICLE
186%B11-000955%11:21pm%III%April17,2011%200 Block of Reserve Cir Madison AL%34.718818%-86.754235%BREAKING AND ENTERING A VEHICLE
187%B11-000956%4:06am%III%April18,2011%American Cab Co, 120 Brazelton Cir Madison AL%34.6792508%-86.7409892%THEFT OF SERVICES-3
188%B11-000957%7:11am%I%April18,2011%100 Block of Equestrian Ln Madison AL%34.7393069%-86.772149%BREAKING AND ENTERING A VEHICLE
189%B11-000958%7:11am%I%April18,2011%100 Block of Equestrian Ln Madison AL%34.7393069%-86.772149%UNLAWFUL BREAKING AND ENTERING A VEHICLE
190%B11-000959%8:15am%I%April18,2011%200 Block of Pennsylvania Av Madison AL%34.728656%-86.763835%UNLAWFUL BREAKING AND ENTERING A VEHICLE
191%B11-000960%8:40am%I%April18,2011%200 Block of Pennsylvania Av Madison AL%34.728656%-86.763835%BREAKING AND ENTERING A VEHICLE
192%B11-000961%10:11am%I%April18,2011%100 Block of Tailwind Ct Madison AL%34.73606%-86.773221%BREAKING AND ENTERING A VEHICLE
